Name,URL
Achilles,git@github.com:doanduyhai/Achilles
DSpace,git@github.com:DSpace/DSpace
airlift,git@github.com:airlift/airlift
checkstyle,git@github.com:checkstyle/checkstyle
dozer,git@github.com:DozerMapper/dozer
find-sec-bugs,git@github.com:h3xstream/find-sec-bugs
geoserver,git@github.com:geoserver/geoserver
jackrabbit-oak,git@github.com:apache/jackrabbit-oak
jmeter-plugins,git@github.com:undera/jmeter-plugins
jsonschema2pojo,git@github.com:joelittlejohn/jsonschema2pojo
killbill,git@github.com:killbill/killbill
okhttp,git@github.com:square/okhttp
presto,git@github.com:facebook/presto
quickml,git@github.com:sanity/quickml
raven-java,git@github.com:getsentry/raven-java
rewrite,git@github.com:ocpsoft/rewrite
togglz,git@github.com:togglz/togglz
twilio-java,git@github.com:twilio/twilio-java
Algorithms,git@github.com:pedrovgs/Algorithms
DiskLruCache,git@github.com:JakeWharton/DiskLruCache
Ektorp,git@github.com:helun/Ektorp
LittleProxy,git@github.com:adamfisk/LittleProxy
activejpa,git@github.com:ActiveJpa/activejpa
android-maven-plugin,git@github.com:simpligility/android-maven-plugin
assertj-core,git@github.com:joel-costigliola/assertj-core
bitcoinj,git@github.com:bitcoinj/bitcoinj
blueflood,git@github.com:rackerlabs/blueflood
cas-addons,git@github.com:Unicon/cas-addons
cloudify,git@github.com:CloudifySource/cloudify
commons-cli,git@github.com:apache/commons-cli
commons-lang,git@github.com:apache/commons-lang
dagger,git@github.com:square/dagger
dropwizard,git@github.com:dropwizard/dropwizard
druid,git@github.com:alibaba/druid
dynjs,git@github.com:dynjs/dynjs
edn-java,git@github.com:bpsm/edn-java
elephant-bird,git@github.com:twitter/elephant-bird
error-prone,git@github.com:google/error-prone
fastjson,git@github.com:alibaba/fastjson
geometry-api-java,git@github.com:Esri/geometry-api-java
geoserver-manager,git@github.com:geosolutions-it/geoserver-manager
graphhopper,git@github.com:graphhopper/graphhopper
graylog2-server,git@github.com:Graylog2/graylog2-server
gson-fire,git@github.com:julman99/gson-fire
handlebars-java,git@github.com:jknack/handlebars.java
hbc,git@github.com:twitter/hbc
http-request,git@github.com:kevinsawicki/http-request
jInstagram,git@github.com:sachin-handiekar/jInstagram
jOOQ,git@github.com:jOOQ/jOOQ
jade4j,git@github.com:neuland/jade4j
jasmine-maven-plugin,git@github.com:searls/jasmine-maven-plugin
java-apns,git@github.com:notnoop/java-apns
javapoet,git@github.com:square/javapoet
jesque,git@github.com:gresrun/jesque
joda-time,git@github.com:JodaOrg/joda-time
jsonld-java,git@github.com:jsonld-java/jsonld-java
junit,git@github.com:junit-team/junit
light-admin,git@github.com:la-team/light-admin
linq4j,git@github.com:julianhyde/linq4j
mapdb,git@github.com:jankotek/mapdb
maven-git-commit-id-plugin,git@github.com:ktoso/maven-git-commit-id-plugin
metrics-spring,git@github.com:ryantenney/metrics-spring
minimal-json,git@github.com:ralfstx/minimal-json
modelmapper,git@github.com:jhalterman/modelmapper
mybatis-3,git@github.com:mybatis/mybatis-3
nutz,git@github.com:nutzam/nutz
objectify,git@github.com:objectify/objectify
openstack-java-sdk,git@github.com:woorea/openstack-java-sdk
owner,git@github.com:lviggiano/owner
p2-maven-plugin,git@github.com:reficio/p2-maven-plugin
p6spy,git@github.com:p6spy/p6spy
parceler,git@github.com:johncarl81/parceler
redpen,git@github.com:recruit-tech/redpen
rest-driver,git@github.com:rest-driver/rest-driver
retrofit,git@github.com:square/retrofit
rexster,git@github.com:tinkerpop/rexster
roboguice,git@github.com:roboguice/roboguice
seyren,git@github.com:scobal/seyren
slice,git@github.com:airlift/slice
spark,git@github.com:perwendel/spark
spring-data-jdbc-repository,git@github.com:nurkiewicz/spring-data-jdbc-repository
springside4,git@github.com:springside/springside4
stream-lib,git@github.com:addthis/stream-lib
supernode,git@github.com:bitsofproof/supernode
truth,git@github.com:google/truth
unirest-java,git@github.com:Mashape/unirest-java
urlbuilder,git@github.com:mikaelhg/urlbuilder
vectorz,git@github.com:mikera/vectorz
vraptor4,git@github.com:caelum/vraptor4
wire,git@github.com:square/wire
zt-exec,git@github.com:zeroturnaround/zt-exec
zt-zip,git@github.com:zeroturnaround/zt-zip
zxing,git@github.com:zxing/zxing
